AirDate,First,Second,Third,Fourth
2014-03-08,Harkin,Ptaszynski,Harkin,Schreiber
2014-03-14,Ptaszynski,Harkin,Schreiber,Murray
2014-03-21,Jenner,Schreiber,Edelman,Harkin
2014-03-28,Schreiber,Harkin,Ptaszynski,Murray
2014-04-04,Ptaszynski,Schreiber,Harkin,Murray
2014-04-11,Abrahams,Oldfield,Murray,Harkin
2014-04-18,Harkin,Schreiber,Ptaszynski,Murray
2014-04-25,Bell,Schreiber,Harkin,Ptaszynski
2014-05-02,Harkin,Schreiber,Ptaszynski,Murray
2014-05-09,Lampaert,Schreiber,Harkin,Murray
2014-05-16,Murray,Ptaszynski,Schreiber,Harkin
2014-05-23,Harkin,Ptaszynski,Schreiber,Murray
2014-05-30,Scheire,Schreiber,Ptaszynski,Murray
2014-06-07,Harkin,Schreiber,Ptaszynski,Murray
2014-06-28,Harkin,Ptaszynski,Schreiber,Murray
2014-07-05,Harkin,Miller,Schreiber,Ptaszynski
2014-07-11,Ptaszynski,Schreiber,Harkin,Lloyd
2014-07-18,Turner,Schreiber,Ptaszynski,Harkin
2014-07-25,Harkin,Ptaszynski,Murray,Schreiber
2014-08-01,Harkin,Schreiber,Miller,Murray
2014-08-08,Ptaszynski,Schreiber,Harkin,Murray
2014-08-15,Harkin,Schreiber,Ptaszynski,Murray
2014-08-22,Ptaszynski,Schreiber,Harkin,Bell
2014-08-29,Bell,Schreiber,Ptaszynski,Harkin
2014-09-05,Ptaszynski,Murray,Harkin,Schreiber
2014-09-13,Rich,Schreiber,Harkin,Murray
2014-09-19,Zaltzman,Schreiber,Ptaszynski,Murray
2014-09-26,Murray,Harkin,Schreiber,Ptaszynski
2014-10-03,Harkin,Schreiber,Ptaszynski,Murray
2014-10-10,Harkin,Schreiber,Ptaszynski,Murray
2014-10-17,Harkin,Ptaszynski,Schreiber,Murray
2014-10-24,Gardner,Ptaszynski,Harkin,Schreiber
2014-10-31,Murray,Schreiber,Ptaszynski,Harkin
2014-11-07,Harkin,Murray,Ptaszynski,Schreiber
2014-11-15,Harkin,Schreiber,Ptaszynski,Murray
2014-11-21,Ptaszynski,Schreiber,Murray,Harkin
2014-11-28,Ptaszynski,Harkin,Schreiber,Murray
2014-12-06,Scheire,Ptaszynski,Murray,Harkin
2014-12-12,Harkin,Schreiber,Ptaszynski,Murray
2014-12-19,Murray,Ptaszynski,Miller,Schreiber
2014-12-24,Schreiber,Harkin,Ptaszynski,Murray
2015-01-09,Ptaszynski,Murray,Harkin,Schreiber
2015-01-16,Bell,Harkin,Ptaszynski,Murray
2015-01-23,Ptaszynski,Harkin,Murray,Miller
2015-01-30,Jenner,Murray,Ptaszynski,Harkin
2015-02-06,Murray,Ptaszynski,Schreiber,Harkin
2015-02-14,Harkin,Schreiber,Murray,Ptaszynski
2015-02-20,Coren Mitchell,Harkin,Miller,Murray
2015-02-25,Murray,Schreiber,Harkin,Ptaszynski
2015-02-27,Harkin,Schreiber,Murray,Ptaszynski
2015-03-06,Ptaszynski,Murray,Harkin,Schreiber
2015-03-13,Murray,Ptaszynski,Harkin,Schreiber
2015-03-20,Murray,Ptaszynski,Schreiber,Harkin
2015-03-27,Murray,Ptaszynski,Schreiber,Harkin
2015-04-03,Harkin,Ptaszynski,Murray,Schreiber
2015-04-10,Ptaszynski,Schreiber,Murray,Harkin
2015-04-17,Schreiber,Murray,Harkin,Ptaszynski
2015-04-24,Ptaszynski,Murray,Schreiber,Harkin
2015-05-01,Harkin,Ptaszynski,Schreiber,Murray
2015-05-08,Harkin,Lloyd,Ptaszynski,Murray
2015-05-15,Ptaszynski,Schreiber,Harkin,Murray
2015-05-22,Hound,Harkin,Ptaszynski,Murray
2015-05-29,Ptaszynski,Harkin,Murray,Schreiber
2015-06-05,Harkin,Ptaszynski,Murray,Schreiber
2015-06-12,Murray,Schreiber,Harkin,Ptaszynski
2015-06-19,Harkin,Miller,Schreiber,Murray
2015-06-26,Schreiber,Ptaszynski,Harkin,Murray
2015-07-03,Ptaszynski,Harkin,Murray,Schreiber
2015-07-10,Murray,Bell,Ptaszynski,Schreiber
2015-07-17,Murray,Ptaszynski,Schreiber,Harkin
2015-07-24,Schreiber,Ptaszynski,Murray,Harkin
2015-07-31,Ptaszynski,Harkin,Murray,Schreiber
2015-08-07,Ptaszynski,Schreiber,Harkin,Miller
2015-08-14,Schreiber,Harkin,Bell,Murray
2015-08-28,Murray,Schreiber,Ptaszynski,Harkin
2015-09-04,Harkin,Schreiber,Murray,Ptaszynski
2015-09-11,Harkin,Murray,Schreiber,Ptaszynski
2015-09-18,Schreiber,Harkin,Ptaszynski,Murray
2015-09-25,Murray,Schreiber,Harkin,Ptaszynski
2015-10-02,Miller,Bell,Ptaszynski,Harkin
2015-10-09,Schreiber,Murray,Ptaszynski,Harkin
2015-10-16,Schreiber,Harkin,Ptaszynski,Murray
2015-10-23,Kruszelnicki,Murray,Bell,Schreiber
2015-10-30,Harkin,Ptaszynski,Murray,Schreiber
2015-11-06,Murray,Harkin,Mason,Schreiber
2015-11-13,Ptaszynski,Harkin,Murray,Schreiber
2015-11-20,Murray,Harkin,Schreiber,Ptaszynski
2015-11-20,Ptaszynski,Murray,Harkin,Schreiber
2015-11-27,Murray,Harkin,Schreiber,Ptaszynski
2015-12-04,Harkin,Murray,Ptaszynski,Schreiber
2015-12-11,Harkin,Miller,Ptaszynski,Schreiber
2015-12-18,Harkin,Schreiber,Ptaszynski,Murray
2015-12-25,Harkin,Ptaszynski,Murray,Schreiber
2016-01-08,Murray,Harkin,Ptaszynski,Bell
2016-01-15,Ptaszynski,Murray,Schreiber,Harkin
2016-01-22,Arney,Harkin,Schreiber,Murray
